cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1,-2.061218955E-02, 3.887069970E-02, 3.466310955E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2,-3.994183987E-02, 2.075189166E-02, 5.199466250E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         3,-1.348285296E-04, 3.765110299E-02, 6.932621909E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         4,-2.107463405E-02, 2.075189166E-02, 5.199466250E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5,-3.786924109E-02,-8.330965647E-05, 6.932621909E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 2.073370852E-02, 3.975881264E-02, 5.199466250E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         7,-1.348285296E-04, 1.878389716E-02, 6.932621909E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8,-1.900203526E-02,-8.330965647E-05, 6.932621909E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         9,-3.867129982E-02,-1.992309093E-02, 3.552070120E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        10, 2.073370852E-02, 2.089160681E-02, 5.199466250E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11,-1.348285296E-04,-8.330965647E-05, 6.932621909E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12,-2.054012753E-02,-2.040636167E-02, 5.285225416E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        13, 3.960091621E-02, 2.089160681E-02, 5.199466250E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.873237640E-02,-8.330965647E-05, 6.932621909E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        15,-1.348285296E-04,-1.895051450E-02, 6.932621909E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        16,-2.005905658E-02,-3.854088858E-02, 3.552070484E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 3.759958223E-02,-8.330965647E-05, 6.932621909E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 2.071291022E-02,-2.103631757E-02, 5.199466250E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        19,-1.348285296E-04,-3.781772032E-02, 6.932621909E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        20, 3.884679824E-02,-2.058319189E-02, 3.466310955E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        21, 2.071291022E-02,-3.990352526E-02, 5.199466250E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
