cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 6.036157608E-01, 8.112065196E-01, 2.549818277E+00, 2.211462008E-03,-1.189459226E-06,-6.048366777E-04
         2, 6.242602468E-01, 8.132882714E-01, 2.549622297E+00, 1.868997584E-03, 2.341211308E-03, 1.266296953E-02
         3, 6.050922871E-01, 8.320771456E-01, 2.549818277E+00, 1.763049397E-03,-6.041259039E-04,-6.280638045E-04
         4, 6.036157608E-01, 7.923393250E-01, 2.549818277E+00, 7.241661660E-04, 2.814775507E-04,-3.238014411E-03
         5, 6.432797313E-01, 8.134983182E-01, 2.549421310E+00, 6.173081347E-04, 2.078294521E-03, 1.914844662E-02
         6, 6.259436011E-01, 8.334565759E-01, 2.549285173E+00, 5.214690464E-04, 1.308928709E-03, 1.746044308E-02
         7, 6.224829555E-01, 7.923393250E-01, 2.549818277E+00, 8.876791690E-04, 2.413890092E-03,-4.266996402E-04
         8, 6.048621535E-01, 8.511978388E-01, 2.549863815E+00, 4.082914093E-04,-1.464640722E-03,-7.265558466E-03
         9, 6.036157608E-01, 7.734721303E-01, 2.549818277E+00, 1.686575852E-04, 3.614923335E-04,-5.394469481E-03
        10, 6.594329476E-01, 8.107387424E-01, 2.549662828E+00,-2.182556345E-04, 1.358266105E-03, 5.321844015E-03
        11, 6.413501501E-01, 7.923393250E-01, 2.549818277E+00, 9.603612125E-04, 3.537197132E-03, 2.545190742E-03
        12, 6.224829555E-01, 7.734721303E-01, 2.549818277E+00, 3.813845688E-04, 2.139306162E-03,-3.939070739E-03
        13, 6.036157608E-01, 7.546049356E-01, 2.549818277E+00, 5.660589068E-06, 3.220170911E-04,-6.666002329E-03
        14, 6.609221697E-01, 7.933009267E-01, 2.549818277E+00, 7.129808073E-04, 3.817161545E-03, 1.422735397E-03
        15, 6.413501501E-01, 7.734721303E-01, 2.549818277E+00, 7.024451625E-04, 3.476958955E-03,-2.535648877E-03
        16, 6.224829555E-01, 7.546049356E-01, 2.549818277E+00, 6.580483023E-05, 1.619921648E-03,-5.733838771E-03
        17, 6.036157608E-01, 7.357376814E-01, 2.549818277E+00, 1.833734132E-05, 2.386773413E-04,-7.279647980E-03
        18, 6.795824766E-01, 7.933355570E-01, 2.549863815E+00,-4.560441303E-04,-3.759062965E-04,-7.177060004E-03
        19, 6.602173448E-01, 7.734721303E-01, 2.549818277E+00, 1.040389761E-03, 4.899410531E-03,-6.034261241E-05
        20, 6.413501501E-01, 7.546049356E-01, 2.549818277E+00, 2.409470908E-04, 2.800282324E-03,-4.655559547E-03
        21, 6.224829555E-01, 7.357376814E-01, 2.549818277E+00, 8.914070349E-05, 1.068638987E-03,-6.729905959E-03
        22, 6.036157608E-01, 7.168704867E-01, 2.549818277E+00, 4.187272498E-05, 1.657312241E-04,-7.586132735E-03
        23, 6.801372766E-01, 7.747921944E-01, 2.549818277E+00, 1.252571819E-03, 1.437614905E-03, 3.692788887E-04
        24, 6.602173448E-01, 7.546049356E-01, 2.549818277E+00, 5.367593258E-04, 4.520019516E-03,-3.460428910E-03
        25, 6.413501501E-01, 7.357376814E-01, 2.549818277E+00, 2.510480990E-04, 1.926041441E-03,-6.017275155E-03
        26, 6.224829555E-01, 7.168704867E-01, 2.549818277E+00, 1.240914135E-04, 6.072975229E-04,-7.363407407E-03
        27, 6.036157608E-01, 6.980032921E-01, 2.549818277E+00, 3.858098353E-05, 1.270315406E-04,-7.737516426E-03
        28, 6.994743347E-01, 7.753376961E-01, 2.549863815E+00, 4.300094442E-04,-1.792894327E-04,-1.145412563E-03
        29, 6.790845990E-01, 7.546049356E-01, 2.549818277E+00, 8.698775200E-04, 2.536017913E-03, 5.214615958E-04
        30, 6.602173448E-01, 7.357376814E-01, 2.549818277E+00, 4.797568545E-04, 3.443123773E-03,-5.459505133E-03
        31, 6.413501501E-01, 7.168704867E-01, 2.549818277E+00, 2.969662892E-04, 1.121718320E-03,-6.987974979E-03
        32, 6.224829555E-01, 6.980032921E-01, 2.549818277E+00, 5.373574095E-05, 2.841857786E-04,-7.732438855E-03
        33, 6.036157608E-01, 6.791360974E-01, 2.549818277E+00, 4.797648216E-05, 1.134381746E-04,-7.804784458E-03
        34, 6.993287206E-01, 7.560734153E-01, 2.549818277E+00, 1.075365231E-03, 9.139242466E-04, 3.104340576E-04
        35, 6.790845990E-01, 7.357376814E-01, 2.549818277E+00, 7.178197848E-04, 2.435591538E-03,-3.199147293E-03
        36, 6.602173448E-01, 7.168704867E-01, 2.549818277E+00, 5.480272230E-04, 2.229639329E-03,-6.734401453E-03
        37, 6.413501501E-01, 6.980032921E-01, 2.549818277E+00, 1.242137514E-04, 5.270135589E-04,-7.589145098E-03
        38, 6.224829555E-01, 6.791360974E-01, 2.549818277E+00, 5.763320223E-05, 1.010973428E-04,-7.903420366E-03
        39, 6.036157608E-01, 6.602689028E-01, 2.549818277E+00, 4.174810601E-05, 1.079564245E-04,-7.774755359E-03
        40, 7.189047337E-01, 7.568595409E-01, 2.549863815E+00, 1.987736759E-04,-4.342600296E-04,-5.327568855E-03
        41, 6.979517341E-01, 7.357376814E-01, 2.549818277E+00, 8.250591927E-04, 1.527222688E-03, 1.857290044E-04
        42, 6.790845990E-01, 7.168704867E-01, 2.549818277E+00, 8.394794422E-04, 1.883547171E-03,-5.619185511E-03
        43, 6.602173448E-01, 6.980032921E-01, 2.549818277E+00, 3.064417688E-04, 1.199641032E-03,-7.486373652E-03
        44, 6.413501501E-01, 6.791360974E-01, 2.549818277E+00, 1.084657852E-04, 1.953505998E-04,-7.877494209E-03
        45, 6.224829555E-01, 6.602689028E-01, 2.549818277E+00, 3.453521640E-05, 3.310520697E-05,-7.935598493E-03
        46, 6.036157608E-01, 6.414016485E-01, 2.549818277E+00, 5.231695832E-05, 1.045094104E-04,-7.713334635E-03
        47, 7.183130383E-01, 7.373244762E-01, 2.549818277E+00, 4.814801796E-04, 4.520684306E-04,-6.175222807E-03
        48, 6.979517341E-01, 7.168704867E-01, 2.549818277E+00, 1.066528028E-03, 1.395012718E-03,-3.665259108E-03
        49, 6.790845990E-01, 6.980032921E-01, 2.549818277E+00, 6.188674015E-04, 1.229864545E-03,-6.960227620E-03
        50, 6.602173448E-01, 6.791360974E-01, 2.549818277E+00, 2.931611671E-04, 4.989857553E-04,-7.824501023E-03
        51, 6.413501501E-01, 6.602689028E-01, 2.549818277E+00, 4.303768219E-05, 7.946738333E-05,-7.956562564E-03
        52, 6.224829555E-01, 6.414016485E-01, 2.549818277E+00, 4.085156252E-05, 2.679255886E-05,-7.880744524E-03
        53, 6.036157608E-01, 6.225344539E-01, 2.549818277E+00, 4.495218309E-05, 1.022878641E-04,-7.638328709E-03
        54, 7.380959392E-01, 7.381475568E-01, 2.549863815E+00,-3.269883746E-04, 2.852159960E-04,-5.443606991E-03
        55, 7.168189883E-01, 7.168704867E-01, 2.549818277E+00, 1.083471114E-03, 9.280638769E-04,-4.940312356E-03
